LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1621, RMSE: 0.1402
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1633, RMSE: 0.1416
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1486, RMSE: 0.1409
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1668, RMSE: 0.1416
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1624, RMSE: 0.1397
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1635, RMSE: 0.1409
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1633, RMSE: 0.1408
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1592, RMSE: 0.1417
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1653, RMSE: 0.1423
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1617, RMSE: 0.1405
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1496, RMSE: 0.1385
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1591, RMSE: 0.1396
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1662, RMSE: 0.1421
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1690, RMSE: 0.1430
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1639, RMSE: 0.1399
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1658, RMSE: 0.1423
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1604, RMSE: 0.1387
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1608, RMSE: 0.1397
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1652, RMSE: 0.1410
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1638, RMSE: 0.1406
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1611, RMSE: 0.1410
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1637, RMSE: 0.1417
LR: 0.006, WD: 4e-05, RE: 0.0120, SAD: 0.1478, RMSE: 0.1374
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1635, RMSE: 0.1425
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1627, RMSE: 0.1408
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1632, RMSE: 0.1406
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1620, RMSE: 0.1400
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1592, RMSE: 0.1391
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1613, RMSE: 0.1398
LR: 0.006, WD: 4e-05, RE: 0.0118, SAD: 0.1608, RMSE: 0.1411
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1578, RMSE: 0.1395
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1608, RMSE: 0.1405
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1653, RMSE: 0.1400
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1620, RMSE: 0.1399
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1582, RMSE: 0.1385
LR: 0.006, WD: 4e-05, RE: 0.0122, SAD: 0.1586, RMSE: 0.1260
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1621, RMSE: 0.1390
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1653, RMSE: 0.1406
LR: 0.006, WD: 4e-05, RE: 0.0119, SAD: 0.1610, RMSE: 0.1404
LR: 0.006, WD: 4e-05, RE: 0.0122, SAD: 0.1558, RMSE: 0.1262
LR: 0.005, WD: 3e-05, RE: 0.0112, SAD: 0.1392, RMSE: 0.1418
LR: 0.005, WD: 3e-05, RE: 0.0111, SAD: 0.1395, RMSE: 0.1413
LR: 0.005, WD: 3e-05, RE: 0.0112, SAD: 0.1364, RMSE: 0.1418
LR: 0.005, WD: 3e-05, RE: 0.0112, SAD: 0.1345, RMSE: 0.1413
